epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.2244,2.01669,0.22917,0.89583,1.93891,2e-05,2e-05,2e-05
2,14.7632,1.96677,0.1875,0.875,1.88345,3.35e-05,3.35e-05,3.35e-05
3,22.4445,1.91805,0.22917,0.89583,1.84521,2.72e-05,2.72e-05,2.72e-05
